The TV monitor on the left	TV monitor on the stand
Guy with black tshirt	Person with black shirt
The person on the right most	right most person
The person with a spoon	The chef holding a spoon
Yellow paper with "2008"	Yellow paper with a wine glass in the center
The boy in blue	The boy with 6
Tall	Long hair guy
First knife from bottom	Bottom knife
Black bike on the right	Black bike 
Woman near the door standing	standing woman near dor
Police	Blue shirt guy
Yellow sphere flowers	Middle yellow flowers
Black suit guy	Guy with moustache
Banana in background	yellow bananas
shortest black remote	Middle remote
brown suitcase on the right bottom	bottom right suitcase
front row second woman	front woman
blue tie on the second from bottom	blue tie in the second ow
chair that the men with sunglasses and white t-shirt is sitting on	front most chair
apple at bottom center	apple at center bottom
giraffe on the left	left giraffe
man on the far right	right most man
man in the center	center man
first hotdog from right	right most hotdog
right most man	men on far right
front most chair	chair in the front
woman	center person
front truck	truck in center
right most person in center	man in center with blue shirt
big tv	television at top
suitcase on desk	upper right suitcase
bowl of rice	center right bowl
boy next to person with colorful outfit	boy facing right with purple shoulder
upper right sheep	right sheep at back
right most man	first person on right
person talking to man holding a cup	person at lower right
man walking in the front	man in the middle
man on the left	man sitting
sandwich on top left corner	top left corner sandwich
lemon water on the left	left lemon water
right bus	bus on the right
pizza slice on bottom left	bottom left pizza slice
blue chair on the right	blue chair near the table
man on the second right	boy on the left
flower on the second left	second left flower
tart in the middle	middle fruit tart
bean bowl	bowl with green beans
silver car behind	silver car behind a carriage
lid of a bottle	tea pot
yellow train on the right	yellow train with numbers
boy behind the girl on the left	boy behind the girl
man on the left	man with an umbrella
man on the left	left man
spoon on the right	right spoon
person with white shorts	object in background in white
lady sitting down	lady with the drumsticks 
person on the left	lady on the left
elephant closest to viewer	elephant on left half
giraffe on the left	giraffe on the left
person on the left	person
cat at the bottom 	bottom cat
donut with chocolate sprinkles 	donut at the bottom 
shortest person 	short person
skier 243	person 243
far right sofa	sofa on the far right
man behind cycle	person behind the cycle
second elephant from the right	shortest elephant
bed on the bottom left	bed bottom left
dish on far left	far left dish
person with red pants	red pants
glass on left	left glass
man in green shirt	green shirt man
stuffed cat	cat at the back
woman in white	left woman
french fry in the center bottom	center bottom fry
left man	left person
second person on left	woman in tank top
man in orange	left man
red suitcase	suitcASE
bottom left chair	chair with red sea
background banana bunch	bananas in background
rice	right bottom vat
donut	pastry in center
dog in center	dog
rightmost cat	rightmost car
third person	woman in center
woman in dress	woman 
back of traffic light	center black rectangle
